name,datetime,temp,humidity,precip,windspeed,description
Nagar Kurnool,15-07-2020,25.3,87.4,24.7,22.7,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,16-07-2020,24.7,84.5,8.3,28.1,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,17-07-2020,26.3,77.5,0.6,25.9,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,18-07-2020,26.6,81.4,2,19.1,Partly cloudy throughout the day with rain.
Nagar Kurnool,19-07-2020,26.1,85.5,31,14.8,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,20-07-2020,26.4,85.9,23.1,14.4,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,21-07-2020,26.9,83.8,4.7,11.5,Cloudy skies throughout the day with rain clearing later.
Nagar Kurnool,22-07-2020,26.5,85,4.1,14.4,Cloudy skies throughout the day with rain.
Nagar Kurnool,23-07-2020,26.4,80,0,11.2,Cloudy skies throughout the day.
Nagar Kurnool,24-07-2020,25.4,85.9,12.9,17.3,Cloudy skies throughout the day with rain.
Nagar Kurnool,25-07-2020,25.1,86.5,4.4,11.2,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,26-07-2020,25.5,83.5,0,14.4,Partly cloudy throughout the day.
Nagar Kurnool,27-07-2020,26.1,82.9,0,23.8,Partly cloudy throughout the day.
Nagar Kurnool,28-07-2020,25.9,88,6.5,20.5,Cloudy skies throughout the day with rain.
Nagar Kurnool,29-07-2020,26.2,87,22.2,10.8,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,30-07-2020,27.1,81.1,15.5,11.5,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,31-07-2020,26.8,85,6.3,10.8,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,01-08-2020,25.9,88.1,9.7,16.6,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,02-08-2020,26.5,84,1.2,24.8,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,03-08-2020,25.2,86.8,6.6,32.8,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,04-08-2020,25,87.2,4,38.5,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,05-08-2020,25.4,86.8,4.1,38.9,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,06-08-2020,26.8,82.9,0.9,31,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,07-08-2020,26.5,84.9,0,29.2,Partly cloudy throughout the day.
Nagar Kurnool,08-08-2020,26.3,83.9,0,32,Partly cloudy throughout the day.
Nagar Kurnool,09-08-2020,25.5,86.9,4,30.6,Cloudy skies throughout the day with rain.
Nagar Kurnool,10-08-2020,25.9,82.9,3,26.3,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,11-08-2020,26.1,83.5,8.2,29.9,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,12-08-2020,25.4,87.1,2.4,27,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,13-08-2020,24.7,89.8,7.6,27.4,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,14-08-2020,25.2,85.7,10,33.1,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,15-08-2020,24.8,89.1,12.9,29.9,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,16-08-2020,25.2,88.3,13.9,31,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,17-08-2020,25.9,87,2.6,27.7,Cloudy skies throughout the day with rain.
Nagar Kurnool,18-08-2020,26.3,85,1.4,28.8,Cloudy skies throughout the day with rain.
Nagar Kurnool,19-08-2020,26.5,84,1.3,27,Partly cloudy throughout the day with rain.
Nagar Kurnool,20-08-2020,25.7,87.2,12.4,33.1,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,21-08-2020,26.3,84.7,1.1,27.7,Cloudy skies throughout the day with rain.
Nagar Kurnool,22-08-2020,26.3,84.8,0.4,23,Partly cloudy throughout the day with late afternoon rain.
Nagar Kurnool,23-08-2020,26.5,83.7,0.4,19.1,Partly cloudy throughout the day with late afternoon rain.
Nagar Kurnool,24-08-2020,26.2,84.9,0.2,18,Partly cloudy throughout the day with early morning rain.
Nagar Kurnool,25-08-2020,26.4,83.4,0.3,20.5,Partly cloudy throughout the day with afternoon rain.
Nagar Kurnool,26-08-2020,25.6,87.9,0,20.5,Cloudy skies throughout the day.
Nagar Kurnool,27-08-2020,24.5,88.3,0,28.8,Cloudy skies throughout the day.
Nagar Kurnool,28-08-2020,26.1,82.6,0,21.6,Cloudy skies throughout the day.
Nagar Kurnool,29-08-2020,26.9,81,0.2,20.2,Partly cloudy throughout the day with early morning rain.
Nagar Kurnool,30-08-2020,26.5,83.6,0,17.6,Partly cloudy throughout the day.
Nagar Kurnool,31-08-2020,26.1,83.8,0,15.8,Partly cloudy throughout the day.
Nagar Kurnool,01-09-2020,26.4,87,3.7,17.3,Partly cloudy throughout the day with rain.
Nagar Kurnool,02-09-2020,26,86.1,1.1,13.7,Cloudy skies throughout the day with rain.
Nagar Kurnool,03-09-2020,26.1,83.6,1.6,10.4,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,04-09-2020,26,86.4,1.3,13.7,Partly cloudy throughout the day with rain.
Nagar Kurnool,05-09-2020,26.7,82.5,0.3,15.1,Partly cloudy throughout the day with early morning rain.
Nagar Kurnool,06-09-2020,27,80.1,0,12.6,Partly cloudy throughout the day.
Nagar Kurnool,07-09-2020,27.2,80.6,6.4,12.2,Partly cloudy throughout the day with rain.
Nagar Kurnool,08-09-2020,27.2,82.7,26.2,5.8,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,09-09-2020,27.4,80,3.1,6.8,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,10-09-2020,26.6,84.6,1.3,10.4,Partly cloudy throughout the day with rain.
Nagar Kurnool,11-09-2020,25.8,87.3,0.5,13.3,Partly cloudy throughout the day with late afternoon rain.
Nagar Kurnool,12-09-2020,25.3,87.7,20.2,18.4,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,13-09-2020,24.3,90.2,27.8,27.4,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,14-09-2020,24.4,87.9,22.4,32.4,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,15-09-2020,24.1,90.7,24.9,27,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,16-09-2020,25.2,90.3,7.2,27,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,17-09-2020,25.1,90.3,10.3,22.7,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,18-09-2020,24.9,92.9,43.3,19.4,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,19-09-2020,25.2,91.4,15.1,22.7,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,20-09-2020,24.4,91.3,14.5,22.3,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,21-09-2020,24.5,89.8,7.4,28.8,Partly cloudy throughout the day with rain clearing later.
Nagar Kurnool,22-09-2020,24.6,88.5,0.7,27,Partly cloudy throughout the day with rain.
Nagar Kurnool,23-09-2020,24.6,84.3,0,28.8,Partly cloudy throughout the day.
Nagar Kurnool,24-09-2020,25.3,86.4,0,21.6,Partly cloudy throughout the day.
Nagar Kurnool,25-09-2020,25.4,89.8,15.6,19.4,Partly cloudy throughout the day with rain.
Nagar Kurnool,26-09-2020,24.3,94.8,33.1,26.3,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,27-09-2020,24.3,88.4,1.7,15.5,Partly cloudy throughout the day with rain clearing later.
Nagar Kurnool,28-09-2020,25.4,84.9,0,14.8,Partly cloudy throughout the day.
Nagar Kurnool,29-09-2020,25.7,89.7,2.5,14.4,Partly cloudy throughout the day with rain.
Nagar Kurnool,30-09-2020,24.8,90.9,31.1,10.8,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,01-10-2020,25.1,85.6,10.3,17.3,Partly cloudy throughout the day with rain clearing later.
Nagar Kurnool,02-10-2020,25.3,85.4,0,15.1,Partly cloudy throughout the day.
Nagar Kurnool,03-10-2020,25.3,87.2,0,13,Partly cloudy throughout the day.
Nagar Kurnool,04-10-2020,24.8,89.3,0,23.8,Partly cloudy throughout the day.
Nagar Kurnool,05-10-2020,25.1,84.9,0,23,Partly cloudy throughout the day.
Nagar Kurnool,06-10-2020,25.7,84,0,20.5,Partly cloudy throughout the day.
Nagar Kurnool,07-10-2020,25,80,0,16.2,Partly cloudy throughout the day.
Nagar Kurnool,08-10-2020,25.5,78.3,0,9,Partly cloudy throughout the day.
Nagar Kurnool,09-10-2020,26,80.9,1.3,8.3,Partly cloudy throughout the day with rain.
Nagar Kurnool,10-10-2020,25.3,87.4,10.5,7.9,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,11-10-2020,24.1,92.5,13.6,16.6,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,12-10-2020,24.9,89.9,1.1,13.3,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,13-10-2020,24.9,90.7,37.9,24.1,Cloudy skies throughout the day with a chance of rain throughout the day.
Nagar Kurnool,14-10-2020,25.4,90.7,28.1,23,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,15-10-2020,25.6,87.2,2.3,21.2,Becoming cloudy in the afternoon with early morning rain.
Nagar Kurnool,16-10-2020,25.6,84.6,0.1,13,Partly cloudy throughout the day with afternoon rain.
Nagar Kurnool,17-10-2020,25.5,86.1,0.9,12.6,Partly cloudy throughout the day with rain.
Nagar Kurnool,18-10-2020,25.4,86.2,7.2,17.6,Partly cloudy throughout the day with rain clearing later.
Nagar Kurnool,19-10-2020,25.6,86.1,4.9,9.7,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,20-10-2020,25,90.1,12.1,7.9,Cloudy skies throughout the day with a chance of rain throughout the day.
